date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:34	168207/168207	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Dec%202021%2022:46:33%20GMT	https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/OneSignalSDKWorker.js.php	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/OneSignalSDKWorker.js.php	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:34	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Homem%20Aranha/www.google-analytics.com/analytics.js	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:34	22108/22108	---M--	200	added ('OK')	image/png	etag:%2260e74c8a-565c%22	https://querofilmehd.net/wp-content/uploads/2021/07/Sem-Titulo-1-1.png	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/uploads/2021/07/Sem-Titulo-1-1.png	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:35	175/175	---M--	200	added ('OK')	image/png	etag:%2260e74908-af%22	https://querofilmehd.net/wp-content/themes/dooplay/assets/img/flags/br.png	C:/My%20Web%20Sites/Homem%20Aranha/querofilmehd.net/wp-content/themes/dooplay/assets/img/flags/br.png	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:35	14967/14967	---M--	200	added ('OK')	image/jpeg	etag:%2230c721e569fe2d815f5a6af4eacffd1c%22	https://image.tmdb.org/t/p/w185/6vVRYbIjDLMMwZJ2jo6enrdN76U.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w185/6vVRYbIjDLMMwZJ2jo6enrdN76U.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:36	946804/946804	---M--	200	added ('OK')	image/jpeg	etag:%2236676c5f6686ab91f9446e2ca34a8e43%22	https://image.tmdb.org/t/p/original/VlHt27nCqOuTnuX6bku8QZapzO.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/VlHt27nCqOuTnuX6bku8QZapzO.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:37	11122/11122	---M--	200	added ('OK')	image/jpeg	etag:%2236676c5f6686ab91f9446e2ca34a8e43%22	https://image.tmdb.org/t/p/w300/VlHt27nCqOuTnuX6bku8QZapzO.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/VlHt27nCqOuTnuX6bku8QZapzO.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:37	10489/10489	---M--	200	added ('OK')	image/jpeg	etag:%22562f68ff20dac8baea6cc00c4069dcc3%22	https://image.tmdb.org/t/p/w300/vIPIyTJqcgOKgKcExCvTDpLpTYW.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/w300/vIPIyTJqcgOKgKcExCvTDpLpTYW.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:38	1280123/1280123	---M--	200	added ('OK')	image/jpeg	etag:%2260fc7bd2d17a31aa627973abbb8c52b8%22	https://image.tmdb.org/t/p/original/aRNMwIvEnYEMwGHLCAACyuq2I1K.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/aRNMwIvEnYEMwGHLCAACyuq2I1K.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
19:46:38	1391495/1391495	---M--	200	added ('OK')	image/jpeg	etag:%22562f68ff20dac8baea6cc00c4069dcc3%22	https://image.tmdb.org/t/p/original/vIPIyTJqcgOKgKcExCvTDpLpTYW.jpg	C:/My%20Web%20Sites/Homem%20Aranha/image.tmdb.org/t/p/original/vIPIyTJqcgOKgKcExCvTDpLpTYW.jpg	(from https://querofilmehd.net/filme/7homem-aranha-sem-volta-para-casa/)
